,ROE－綜合損益,ROE－綜合損益,ROE－綜合損益,ROE－綜合損益
3257 虹冠電,8.26,4.09,17.02,14.26
3266 昇陽,1.93,2.56,10.7,6.37
3296 勝德,3.6,2.58,-8.85,-5.87
3305 昇貿,6.6,3.37,4.36,5.93
3308 聯德,3.41,2.43,45.01,52.29
3311 閎暉,4.73,2.72,3.13,4.66
3312 弘憶股,11.59,6.28,11.37,12.17
3321 同泰,-9.82,-4.19,-45.01,-31.23
3338 泰碩,9.48,4.78,11.68,9.68
3346 麗清,5.63,2.38,8.7,6.56
3356 奇偶,21.54,12.26,14.87,12.4
3376 新日興,5.49,2.66,5.09,4.4
3380 明泰,4.9,2.34,4.54,5.62
3406 玉晶光,11.81,6.7,13.62,9.8
3413 京鼎,11.55,5.53,17.78,14.02
3416 融程電,9.44,4.93,19.03,17.15
3419 譁裕,-2.98,-1.81,-10.47,-2.93
3432 台端,-2.39,-0.42,-3.41,0.77
3437 榮創,1.53,-1.08,-3.27,-1.61
3443 創意,16.68,6.79,39.41,32.87
3447 展達,-2.69,-1.74,-5.47,4.04
3450 聯鈞,6.93,3.43,1.49,2.32
3454 晶睿,1.75,0.65,14.14,12.41
3481 群創,1.02,0.04,-8.4,-5.81
3494 誠研,-13.25,-10,-38.02,-22.54
3501 維熹,8.21,4.9,6.43,6.7
3504 揚明光,-8.75,-6.96,-9.71,-5.65
3515 華擎,10.52,6.02,10.96,9.18
3518 柏騰,-5.79,-2.56,-4.97,-0.17
3528 安馳,7.68,2.67,5.94,4.2
3530 晶相光,-0.68,-0.44,-11.48,-7.47
3532 台勝科,2.86,1.53,13.72,11.27
3533 嘉澤,15.79,8.53,20.08,17.24
3535 晶彩科,8.74,-0.77,-2.92,1.47
3543 州巧,1.68,1.79,0.69,3.95
3545 敦泰,4.39,2.72,3.5,4.5
3550 聯穎,8.06,5.99,-23.62,-4.25
3557 嘉威,18.18,14.59,15.3,14.33
3563 牧德,2.32,0.64,10.05,10.48
3576 聯合再生,-7.24,-1.3,-23.76,-8.65
3583 辛耘,16.1,9.04,18.72,15.25
3588 通嘉,3.8,0.97,1.36,-0.34
3591 艾笛森,5.05,2.94,0.63,2.5
3592 瑞鼎,9.83,4.78,11.52,8.05
3593 力銘,-1.89,-0.03,-13.87,-9.5
3596 智易,9.12,5.03,16.59,13.28
3605 宏致,3.97,2.19,-5.77,-2.04
3607 谷崧,2.24,-0.89,-3.75,-1.93
3617 碩天,16.5,8.57,23.25,21.03
3622 洋華,10.67,4.51,20.04,15.64
3645 達邁,4.98,0.91,-5.32,-2.23
3652 精聯,2.52,0.85,2.22,2.82
3653 健策,14.83,6.93,20.21,16.82
3661 世芯-KY,16.01,8.37,21.27,19.4
3665 貿聯-KY,9.02,4.02,10.28,8.62
3669 圓展,11.09,5.7,17.85,11.49
3673 TPK-KY,6.49,4.21,-0.48,4.29
3679 新至陞,12.65,7.69,9.33,10.69
3686 達能,-0.32,0.06,-4.08,-3.04
3694 海華,10.8,5.4,11.27,13.68
3701 大眾控,4.62,3.07,8.4,10.61
3702 大聯大,11.18,7.36,12.12,12.65
3703 欣陸,5.34,2.1,9.03,6.34
3704 合勤控,2.27,0.9,12.89,10.4
3705 永信,8.3,4.19,10.76,8.39
3706 神達,1.31,-0.31,3.21,-1.8
3708 上緯投控,4.78,3.12,14.3,16.19
3711 日月光投控,8.46,4.98,10.79,10.36
3712 永崴投控,12.97,2.05,7.02,3.3
3714 富采,-2.63,-1.73,-14.35,-4.84
3715 定穎投控,12.57,6.88,14.75,13.8
3716 中化控股,,,,
4104 佳醫,5.04,3.1,11.71,11.18
4106 雃博,4.7,3.21,8.72,7.98
4108 懷特,0.17,1.66,-0.39,-0.46
4119 旭富,1.96,0.82,11.38,12.94
4133 亞諾法,3.84,2.37,3.32,2.87
4137 麗豐-KY,8.93,4.22,19.16,17.74
4142 國光生,-8.69,-3.21,-12.41,-4.65
4148 全宇生技-KY,4.38,2.6,2.81,4.69
4155 訊映,3.59,1.71,-0.97,0.64
4164 承業醫,0.74,0.22,6.48,3.65
4190 佐登-KY,-5.93,-3.15,-2.12,0.53
4306 炎洲,10.92,5.04,9.94,7.99
4414 如興,-1.37,-1.67,-11.58,-10.45
4426 利勤,-2.44,-0.07,-1.46,1.62
4438 廣越,3.98,1.21,8.23,12
4439 冠星-KY,8.1,5.7,12,16.15
4440 宜新實業,5.3,2.71,3.29,1.71
4526 東台,-0.67,-0.51,2.24,1.26
4532 瑞智,10.56,6.48,5.8,7.62
4536 拓凱,12.45,6.81,17.34,16.5
4540 全球傳動,-8.22,-5.16,-3.16,1.1
4545 銘鈺,8.15,3.44,4.28,6.1
4551 智伸科,7.06,4.45,5.37,6.94
4552 力達-KY,4.18,2.41,4.93,4.73
4555 氣立,2.23,1.22,-2.42,-0.01
4557 永新-KY,14.34,7.78,15.2,16.26
4560 強信-KY,5.96,2.87,2.27,3.27
4562 穎漢,-1.6,-1.16,-6.65,-2.23
4564 元翎,-4.81,-2.52,-8.63,-5.73
4566 時碩工業,6.37,4.27,6.33,7.75
4569 六方科-KY,4.99,2.41,4.3,3.93
4571 鈞興-KY,12.15,6.2,8.38,8.29
4572 駐龍,8.35,4.33,13.39,11.08
4576 大銀微系統,0.75,0.14,0.83,0.57
4581 光隆精密-KY,11.09,5.51,18.74,16.57
4583 台灣精銳,6.72,3.82,8.89,7.72
4588 玖鼎電力,11.21,3.42,27.39,22.19
4720 德淵,8.06,5.06,4.37,6.24
4722 國精化,5,2.54,5.65,4.61
4736 泰博,7.15,4.28,11.16,9.5
4737 華廣,0.78,1.77,1.28,0.08
4739 康普,2.46,1.24,-1.32,-0.69
4746 台耀,1.11,-1.38,-0.65,-2.41
4755 三福化,5.91,3.16,9.18,7.15
4763 材料-KY,34.45,20.11,72.78,54.32
4764 雙鍵,0.13,-0.11,-5.76,-2.97
4766 南寶,13.48,6.47,-0.38,-1.9
4770 上品,13.12,7.6,23.08,18.88
4771 望隼,15.16,7.88,31.35,23.24
4807 日成-KY,-8.58,-5.75,-16.77,-18.72
4904 遠傳,6.85,3.18,13.5,13.2
4906 正文,3.81,0.69,-0.5,3.43
4912 聯德控股-KY,9.89,5.52,6.54,6.78
4915 致伸,11.39,6.08,12.54,13.44
4916 事欣科,0.89,4.14,5.18,12.2
4919 新唐,-0.19,2.36,11.54,7.82
4927 泰鼎-KY,-11.63,-6.66,-9.58,-7.15
4930 燦星網,7.76,4.9,8.4,10.08
4934 太極,-5.96,-3.31,-9.28,4.72
4935 茂林-KY,6.53,4.02,3.5,5.73
4938 和碩,9.07,5.05,8.22,9.27
4942 嘉彰,8.08,5.07,6.31,8.4
4943 康控-KY,-30.18,6.29,-217.05,-429.96
4949 有成精密,-6.86,-2.68,12.47,11.8
4952 凌通,9.12,3.33,6.85,6.67
4956 光鋐,-0.61,-0.74,-7.76,-3.43
4958 臻鼎-KY,6.21,4.7,6.12,5.51
4960 誠美材,-0.11,0.43,-6.21,-3.33
4961 天鈺,6.66,2.81,10.43,8.24
4967 十銓,14.66,11.94,10.9,1.46
4968 立積,4.67,1.32,-9.77,-8.15
4976 佳凌,0.64,0.28,-9.96,-4.6
4977 眾達-KY,3.52,3.15,8.42,10.71
4989 榮科,0.67,0.03,-4.76,-2.55
4994 傳奇,14.93,11.02,11.64,11.22
4999 鑫禾,2.19,1.08,-0.44,1
5007 三星,8.61,4.27,13.9,10.78
5203 訊連,6.29,3.94,4.5,6.64
5215 科嘉-KY,7.5,4.18,3.87,6.06
5222 全訊,13.25,5.59,20.24,14.63
5225 東科-KY,19.4,9.89,20.12,20.24
5234 達興材料,8.44,3.82,17.25,13.88
5243 乙盛-KY,5.85,6.42,10.72,13
5244 弘凱,6.04,3.43,8.82,6.99
5258 虹堡,10.03,5.7,27.65,22.27
5269 祥碩,11.95,9.3,25.66,18.75
5283 禾聯碩,4.01,-0.88,13.58,11.23
5284 jpp-KY,-3.7,-4.41,18.95,16.57
5285 界霖,6.68,2.87,3.69,4.24
5288 豐祥-KY,14.73,8.94,20.57,19.07
5292 華懋,12.18,6.35,25.4,21.32
5306 桂盟,8.18,4.09,8.51,8.81
5388 中磊,10.52,6.71,20.02,17.67
5434 崇越,14.27,7.08,19.87,15.36
5469 瀚宇博,9.07,4.3,15.63,15.32
5471 松翰,3.23,2.27,10.6,10.64
5484 慧友,-3.1,-2.73,-7.19,-2.91
5515 建國,9.67,6.18,7.53,8.48
5519 隆大,6.95,5.02,15.38,5.78
5521 工信,-1.39,-1.65,2.17,1.35
5522 遠雄,3.43,1.04,8.19,3.82
5525 順天,4.44,-0.71,13.61,13.92
5531 鄉林,-5.5,-1.35,-4.11,-0.8
5533 皇鼎,0.78,0.46,9.6,8.61
5534 長虹,2.35,0.43,9.18,2.48
5538 東明-KY,7.49,3.51,0.12,3.83
5546 永固-KY,3.07,2.47,-16.89,-9.66
5607 遠雄港,3.31,1.57,9.9,9.89
5608 四維航,4.67,2.91,-5.95,-0.31
5706 鳳凰,18.43,6.78,19.24,12.89
5871 中租-KY,9.22,4.74,15.51,13.4
5876 上海商銀,7.15,5.41,11.51,11.95
5880 合庫金,5.77,2.84,13.8,9.24
5906 台南-KY,24.35,5.6,21.93,14.62
5907 大洋-KY,1.34,1.22,-35.41,-7.83
6005 群益證,6.41,3.44,14.13,10.69
6024 群益期,9.36,4.34,14.73,12.13
6108 競國,3.27,2.26,0.74,4.16
6112 邁達特,4.5,4.23,11,10.34
6115 鎰勝,9.86,4.5,8.83,9.44
6116 彩晶,-6.42,-3.16,-12.63,-8.6
6117 迎廣,15.36,9.04,6.9,1.82
6120 達運,1.28,0.38,-0.04,-1.25
6128 上福,8.6,6.02,11.29,12
6133 金橋,6.06,1.47,-4.25,-0.85
6136 富爾特,7.06,11.39,33.17,18.92
6139 亞翔,18.61,9.05,25.43,18.03
6141 柏承,-29.9,-15.31,-22.01,-10.39
6142 友勁,-1.72,-2.21,-0.33,0.76
6152 百一,2.31,-2.51,-2.31,-1.65
6153 嘉聯益,-6.74,-2.67,-19.92,-14.82
6155 鈞寶,8.18,2.67,6.02,7.14
6164 華興,4.54,2.66,-4.2,-1.26
6165 浪凡,2.64,1.21,2.01,-1.76
6166 凌華,-1.44,0.03,5.31,5.31
6168 宏齊,2.4,1.68,6.68,5.24
6176 瑞儀,13.01,7.12,14.73,15.13
6177 達麗,5.19,0.98,24.86,8.05
6183 關貿,9.79,4.75,19.59,17.32
6184 大豐電,5.66,2.87,11.71,9.11
6189 豐藝,15.67,8.46,16.31,16.04
6191 精成科,11.76,6.08,19.64,19.43
6192 巨路,8.42,4.67,12.19,10.68
6196 帆宣,8.36,4.84,19.83,18.52
6197 佳必琪,23.71,11.03,21.23,17.53
6201 亞弘電,7.18,2.97,14.2,11.92
6202 盛群,-7.18,-6.26,6.04,5.54
6205 詮欣,7.05,3.98,9.05,9.03
6206 飛捷,10.96,5.03,10,7.11
6209 今國光,1.04,0.92,-2.22,1.07
6213 聯茂,7.01,4.98,2.05,3.62
6214 精誠,10.32,5.91,9.93,9.73
6215 和椿,0.65,-0.85,13.44,10.61
6216 居易,9.81,3.93,7.27,7.71
6224 聚鼎,2.95,1.76,-1.74,2.11
6225 天瀚,-9.86,1.31,9.59,-0.99
6226 光鼎,-0.37,1.77,-6.14,-3.16
6230 尼得科超眾,4.57,3,8.46,9.73
6235 華孚,14.71,8.99,20.86,19.73
6239 力成,6.64,3.25,13.83,7.93
6243 迅杰,4.55,2.95,8.24,9.98
6257 矽格,11.4,6.88,13.6,11.83
6269 台郡,2.57,1.8,7.19,6.63
6271 同欣電,3.61,1.77,4.77,3.09
6277 宏正,4.62,2.41,11.71,9.01
6278 台表科,13.71,8.42,11.43,13.91
6281 全國電,9.3,4.22,18.09,15.43
6282 康舒,1.8,0.86,0.25,2.84
6283 淳安,2.77,2.15,-10.91,-2.88
6285 啟碁,8.15,5.64,22.29,22.4
6288 聯嘉,3.72,2.56,0.03,1.48
6405 悅城,-0.69,-0.55,-3.14,-1.34
6409 旭隼,30.27,11.74,41.59,35.63
6412 群電,13.93,6.6,23.97,18.27
6414 樺漢,7.49,4.35,12.66,11.73
6415 矽力*-KY,6.98,4.26,0.78,4.39
6416 瑞祺電通,4.6,2.02,8.63,7.67
6426 統新,-6.15,-3.02,-8.81,-6.69
6431 光麗-KY,-11.77,-4.39,-18.66,-10.52
6438 迅得,7.18,3.79,16.76,14.26
6442 光聖,16.83,6.41,9.78,7.98
6443 元晶,0.69,0.29,7.64,6.31
6446 藥華藥,5.02,1.61,-2.8,-2.89
6449 鈺邦,20.76,7.89,13.96,14.77
6451 訊芯-KY,6.2,4.25,3.31,7.05
6456 GIS-KY,1.98,1.66,-11.26,-7.17
6464 台數科,6.11,2.87,6.32,8.59
6472 保瑞,17.36,6.96,36.75,39.62
6477 安集,-0.27,-0.82,5.39,6.55
6491 晶碩,9.93,5.36,20.19,13.8
6504 南六,5.3,4.49,2.08,4.86
6505 台塑化,2.9,1.07,10.42,8.81
6515 穎崴,11.82,6.01,12.78,11.46
6525 捷敏-KY,11.22,6.29,12.27,11.96
6526 達發,7.81,2.91,7.25,9.96
6531 愛普*,6.67,3.39,12.98,9.84
6533 晶心科,-2.56,-0.96,-2.09,0.27
6541 泰福-KY,-66.91,-66.16,-190.2,-112.57
6550 北極星藥業-KY,-8.57,-1.98,-19.14,-8.43
6552 易華電,13,4.51,5.54,4.32
6558 興能高,2.3,2.17,-3.81,0.45
6573 虹揚-KY,-14.67,-5.59,-30.3,-16.95
6579 研揚,7.33,4.53,11.49,10.84
6581 鋼聯,10.16,3.31,11.97,7.61
6582 申豐,5.03,1.34,1.04,1.13
6585 鼎基,12.4,6.01,13.33,9.61
6591 動力-KY,6.2,4.45,5.44,7.04
6592 和潤企業,5.28,2.54,10.46,8.37
6598 ABC-KY,-13,-6.09,-21.75,-16.11
6605 帝寶,9.56,4.96,14.03,10.35
6606 建德工業,17.05,8.78,6.9,7.75
6625 必應,13.52,5.41,41.3,30.83
6641 基士德-KY,4.61,2.81,0.74,0.41
6655 科定,8.58,3.35,12.34,9.2
6657 華安,-11.96,-5.43,-37.02,-27.05
6658 聯策,4.15,2.53,4.8,5.08
6666 羅麗芬-KY,6.85,3.37,3.59,5.66
6668 中揚光,-3.42,-1.01,-16.35,-12.67
6669 緯穎,25.51,13.87,30.03,26.05
6670 復盛應用,15.52,8.67,18.64,14.56
6671 三能-KY,7.61,3.9,8.78,7.66
6672 騰輝電子-KY,10.79,6.05,11.82,12.45
6674 鋐寶科技,-5.69,-3.6,-24.45,-14.73
6689 伊雲谷,3.67,2.27,8.12,8.78
6691 洋基工程,16.24,7.9,32.54,27.13
6695 芯鼎,-3.29,-1.06,-3.22,-0.22
6698 旭暉應材,-1.15,-0.25,-2.01,-0.77
6706 惠特,-3.6,-1.53,-8.5,-3.35
6715 嘉基,5.85,3.06,12.55,10.89
6719 力智,1.67,1.18,0.45,0.44
6742 澤米,1.13,0.42,2.09,3.4
6743 安普新,3.95,-0.09,-2.37,-0.08
6753 龍德造船,14.58,8.07,23.53,14.27
6754 匯僑設計,11.4,3.72,12.34,9.51
6756 威鋒電子,4.25,2.62,5.94,6.37
6768 志強-KY,8.51,5.22,3.11,6.09
6770 力積電,-2.58,-0.47,-1.65,0.49
6776 展碁國際,7.61,4.14,17.08,13.08
6781 AES-KY,10.75,6.28,14.36,14.59
6782 視陽,12.02,5.84,7.23,5.96
6789 采鈺,3.61,1.09,2.12,1.93
6790 永豐實,10.89,6.5,16.87,13.61
6792 詠業,3.78,1.97,15.74,12.51
6796 晉弘,-0.66,-1.24,10.21,8.18
6799 來頡,4.82,2.95,16.45,12.3
6805 富世達,11.8,6.01,16.81,18.42
6806 森崴能源,2.4,1.39,4.51,2.83
6807 峰源-KY,11.62,5.97,11.23,8.99
6830 汎銓,1.89,0.06,9.73,7.5
6834 天二科技,2.64,0.44,-6.56,-3.79
6835 圓裕,8.83,4.58,14.02,10.95
6838 台新藥,-15.33,-3.15,-41.51,-36.24
6861 睿生光電,6.19,1.82,10.01,10.17
6863 永道-KY,12.23,7.17,8.01,8.98
6869 雲豹能源,2.55,-0.37,28.97,25.95
6890 來億-KY,10.73,6.19,6.74,7.6
6901 鑽石投資,-7.59,-6.48,-21.61,-23.4
6906 現觀科,3.89,2.69,20.92,11.54
6914 阜爾運通,8.58,5.66,26.28,20.32
6916 華凌,1.85,1.37,6.72,9.36
6928 攸泰科技,-0.66,1.83,20.44,18.11
6933 AMAX-KY,9,6.84,13.8,17.26
6937 天虹,6.1,3.04,12.17,8.76
6952 大武山,3.66,3.12,6.01,2.05
6957 裕慶-KY,17.73,16.73,60.41,
6958 日盛台駿,4.43,2.02,4.64,5.31
8011 台通,3.73,1.64,1.05,0.88
8016 矽創,10.86,5.62,17.92,13.71
8021 尖點,4.97,3.21,-1.89,-0.31
8028 昇陽半導體,4.31,1.59,9.06,10.33
8033 雷虎,7.34,2.84,-1.53,0.44
8039 台虹,10.8,2.55,6.55,6.44
8046 南電,1.78,1.19,11.45,10.49
8070 長華*,18.73,14.88,33.25,26.1
8072 陞泰,2.77,1.39,3.1,3.03
8081 致新,8.23,2.94,26.25,23.48
8101 華冠,-149.72,-66.87,-106.88,-82.07
8103 瀚荃,8.72,4.83,5.15,6.86
8104 錸寶,2.12,1.48,-9.17,-7.41
8105 凌巨,0.38,1.12,2.87,3.28
8110 華東,1.31,0.15,4.69,2.58
8112 至上,11.15,5.72,14.42,12.53
8114 振樺電,13.11,5.39,11.35,13.42
8131 福懋科,1.68,0.54,4.53,3.6
8150 南茂,3.94,1.71,6.9,5.42
8163 達方,1.52,2.06,19.16,19.71
8201 無敵,-5.81,-3.2,-13.48,-8.7
8210 勤誠,16.98,8.04,21.16,13.23
8213 志超,5.65,3.23,5.24,5.28
8215 明基材,2.25,1.18,6.37,6.55
8222 寶一,6.46,3.55,7.5,7.7
8249 菱光,8.85,11.76,33.62,38.59
8261 富鼎,3.94,1.41,6.34,4.92
8271 宇瞻,5.36,2.97,13.67,10.38
8341 日友,5.31,2.25,8.6,7.3
8367 建新國際,5.6,1.79,8.62,5.43
8374 羅昇,1.33,0.66,-0.82,0.1
8404 百和興業-KY,6.53,3.47,-14.51,-8.83
8411 福貞-KY,2.89,1.67,-1.69,-0.56
8422 可寧衛,7.92,3.62,14.59,11.38
8429 金麗-KY,2.41,1.54,-2.23,-0.42
8438 昶昕,5.33,1.99,4.71,3.53
8442 威宏-KY,15.75,7.94,21.92,22.39
8443 阿瘦,-1.67,1.27,2.06,1.8
8454 富邦媒,19.35,9.92,36.19,26.1
8462 柏文,7.86,2.69,6.86,3.44
8463 潤泰材,6.43,1.41,7.98,3.78
8464 億豐,15.18,8.49,25.47,21.49
8466 美吉吉-KY,7.2,3.72,-4.37,0.66
8467 波力-KY,13.11,5.41,17.33,12.96
8473 山林水,3.6,2.39,2.93,2.01
8476 台境,11.57,2.25,21.61,21.45
8478 東哥遊艇,23.61,12.88,38.94,35.42
8481 政伸,7.93,4.11,7.27,8.4
8482 商億-KY,11.74,6.39,7.49,12.1
8488 吉源-KY,3,3.23,-6.53,-1.34
8499 鼎炫-KY,6.86,5.07,3.49,6
8926 台汽電,4.78,2.04,9.06,7.89
8940 新天地,-1.71,10.28,15.8,6.78
8996 高力,10.53,4.71,23.34,23.28
9103 美德醫療-DR,-4.24,,-15.58,
910322 康師傅-DR,13.32,,20.7,
9105 泰金寶-DR,2.21,1.34,6.37,5.04
910861 神州-DR,,,-14.93,
9110 越南控-DR,-9.99,-5.89,0.5,3.61
911608 明輝-DR,0.99,,4.65,
911622 泰聚亨-DR,-2.28,-0.53,1.4,1.89
911868 同方友友-DR,1.14,,2.36,
912000 晨訊科-DR,,,21.86,
9136 巨騰-DR,-4.8,,-9.06,
9802 鈺齊-KY,7.95,4.84,9.64,12.6
9902 台火,4.7,2.97,2.55,1.62
9904 寶成,10.52,7.14,14.15,11.85
9905 大華,5.72,3.05,5.35,5.39
9906 欣巴巴,-0.26,-3.12,36.53,37.81
9907 統一實,6.12,3,0.55,2.83
9908 大台北,5.35,2.37,12.08,9.49
9910 豐泰,17.74,9.16,20.79,19.87
9911 櫻花,13.29,8,19.11,14.13
9912 偉聯,-5.73,-3.82,-11.68,-5.2
9914 美利達,9.81,5.39,9.08,14.03
9917 中保科,11.5,4.8,20.83,16.36
9918 欣天然,9.07,5.76,11.62,9.07
9919 康那香,-3.43,-1.4,22.82,28.34
9921 巨大,7.18,3.08,9.62,9.91
9924 福興,7.82,3.67,12.89,10.38
9925 新保,7.85,1.72,13.17,9.45
9926 新海,11.31,5.56,19.64,17.69
9927 泰銘,10.36,5.87,15.44,14.05
9928 中視,-0.2,0.16,5.38,-7.34
9929 秋雨,3.45,-0.68,-10.05,8.93
9930 中聯資源,9,4.22,12.81,9.72
9931 欣高,11.44,5.02,12.69,8.57
9933 中鼎,8.28,3.78,11.59,9.48
9934 成霖,13.55,6.8,11.72,12.44
9935 慶豐富,10.88,6.8,3.3,6.05
9937 全國,7.54,3.43,15.56,11.76
9938 百和,8.35,4.72,1.26,2.94
9939 宏全,12.47,8.63,14.28,17.01
9940 信義,12.97,6.34,12.12,12.38
9941 裕融,8.41,4.47,16.44,15.23
9942 茂順,10.36,5.44,25.79,21.58
9943 好樂迪,9.47,5.86,20,16.89
9944 新麗,6.83,7.06,4.33,7.73
9945 潤泰新,14.49,9.41,21.24,11.1
9946 三發地產,5.9,2.4,2.52,0.99
9955 佳龍,-4.14,-2.28,-6.17,-3.94
9958 世紀鋼,12.21,8.33,11.65,6.09
